,날짜,시가,고가,저가,종가,거래량,종목코드,종목명
153,2021-08-31,18450,18700,18350,18400,75612,093050,LF
154,2021-08-30,93800,94900,93500,94100,104078,003550,LG
155,2021-08-31,93100,95300,92500,95300,374746,003550,LG
156,2021-08-30,20400,20600,20200,20250,1488041,034220,LG디스플레이
157,2021-08-31,20350,20500,19950,20500,2967873,034220,LG디스플레이
158,2021-08-30,1425000,1433000,1415000,1424000,23171,051900,LG생활건강
159,2021-08-31,1425000,1462000,1415000,1461000,56748,051900,LG생활건강
160,2021-08-30,669000,671000,665000,671000,1567,051905,LG생활건강우
161,2021-08-31,671000,687000,667000,687000,6233,051905,LG생활건강우
162,2021-08-30,69100,69400,68800,69100,5203,003555,LG우
163,2021-08-31,69000,69100,68000,68700,8782,003555,LG우
164,2021-08-30,14150,14150,13900,13950,853409,032640,LG유플러스
165,2021-08-31,14000,14200,13750,14050,2468105,032640,LG유플러스
166,2021-08-30,207000,210000,204500,208000,144073,011070,LG이노텍
167,2021-08-31,213000,216500,211000,215000,288461,011070,LG이노텍
168,2021-08-30,141500,142000,139000,139500,740133,066570,LG전자
169,2021-08-31,139500,142000,138000,142000,913691,066570,LG전자
170,2021-08-30,70600,70600,69100,69300,37079,066575,LG전자우
171,2021-08-31,69000,69900,68800,69900,35655,066575,LG전자우
172,2021-08-30,8050,8090,7870,7870,868951,037560,LG헬로비전
173,2021-08-31,7830,7970,7740,7790,690335,037560,LG헬로비전
174,2021-08-30,787000,789000,767000,770000,252845,051910,LG화학
175,2021-08-31,770000,777000,752000,758000,567080,051910,LG화학
176,2021-08-30,358500,359000,348000,349500,17318,051915,LG화학우
177,2021-08-31,349000,349500,339000,346000,48520,051915,LG화학우
178,2021-08-30,49500,53200,49150,52700,690885,079550,LIG넥스원
179,2021-08-31,53400,53800,51600,52100,308321,079550,LIG넥스원
180,2021-08-30,67300,67600,66400,66600,69207,006260,LS
181,2021-08-31,66700,67000,66000,66600,72855,006260,LS
182,2021-08-30,68700,69300,68000,68500,196561,010120,LS ELECTRIC
183,2021-08-31,68500,70200,68000,68600,221716,010120,LS ELECTRIC
184,2021-08-30,3900,3940,3855,3920,64923,000680,LS네트웍스
185,2021-08-31,3925,3940,3850,3900,50820,000680,LS네트웍스
186,2021-08-30,8480,8510,8430,8460,75184,229640,LS전선아시아
187,2021-08-31,8490,8490,8350,8470,64283,229640,LS전선아시아
188,2021-08-30,27450,27750,27200,27600,73917,001120,LX인터내셔널
189,2021-08-31,27350,28000,27200,27750,98202,001120,LX인터내셔널
190,2021-08-30,86300,88900,85600,87900,67669,108670,LX하우시스
191,2021-08-31,88200,88700,86600,88100,47859,108670,LX하우시스
192,2021-08-30,38750,40350,38750,39950,4454,108675,LX하우시스우
193,2021-08-31,40400,40400,39650,40050,2856,108675,LX하우시스우
194,2021-08-30,9840,10100,9810,10000,307335,383800,LX홀딩스
195,2021-08-31,9980,10100,9850,9870,400218,383800,LX홀딩스
196,2021-08-30,15100,15400,15100,15400,4428,38380K,LX홀딩스1우
197,2021-08-31,15300,15450,15200,15250,6898,38380K,LX홀딩스1우
198,2021-08-30,9900,9960,9600,9670,92352,023150,MH에탄올
199,2021-08-31,9680,9780,9650,9690,52148,023150,MH에탄올
200,2021-08-30,425500,429000,423000,428000,399336,035420,NAVER
201,2021-08-31,430000,439500,427000,439000,737236,035420,NAVER
202,2021-08-30,70200,71200,70100,70800,40971,181710,NHN
203,2021-08-31,70900,71200,70300,70600,42045,181710,NHN
204,2021-08-30,13250,13300,13050,13150,532670,005940,NH투자증권
205,2021-08-31,13150,13250,12850,13250,988482,005940,NH투자증권
206,2021-08-30,11950,11950,11750,11900,92040,005945,NH투자증권우
207,2021-08-31,11900,11900,11700,11900,72031,005945,NH투자증권우
208,2021-08-30,4830,4850,4795,4830,55022,338100,NH프라임리츠
209,2021-08-31,4840,4950,4800,4950,71939,338100,NH프라임리츠
210,2021-08-30,18200,18200,16750,17700,208481,034310,NICE
211,2021-08-31,17800,18150,17600,18050,48785,034310,NICE
212,2021-08-30,4400,4560,4400,4525,94267,008260,NI스틸
213,2021-08-31,4530,4570,4395,4515,76241,008260,NI스틸
214,2021-08-30,5750,5750,5580,5610,258412,004250,NPC
215,2021-08-31,5630,5680,5490,5590,210737,004250,NPC
216,2021-08-30,3170,3185,3160,3175,7554,004255,NPC우
217,2021-08-31,3190,3190,3120,3135,16548,004255,NPC우
218,2021-08-30,124500,128000,124000,126000,612136,010060,OCI
219,2021-08-31,127000,128500,124000,127000,398961,010060,OCI
220,2021-08-30,59300,59300,57500,57600,155912,178920,PI첨단소재
221,2021-08-31,57900,59100,56600,58800,175001,178920,PI첨단소재
222,2021-08-30,318500,333000,317500,332000,614544,005490,POSCO
223,2021-08-31,332500,337000,328000,337000,438391,005490,POSCO
224,2021-08-30,93200,95500,93000,94300,384799,010950,S-Oil
